Competition,Type of race,Sex,HOST NATION,Country,DAY,MONTH,YEAR,TIME,Latitude,Longitude,NOAA Station ID,Station Location,Distance from location (km),Air Temperature (C),Dew Point (C),Wind Speed (m/s),Adjusted wind speed,Relative Humidity (%),Clouds (OKTA),Diff from requested Time (minutes),Time zone,Solar Radiation accounting for clouds (tilt surface)(W/m},Heat Index (National Oceanic and Atmospheric Administration; Last modified 2014) - [°C],Simplified Wet Bulb Globe Temperature (American College of Sports Medicine; 1984) - [°C],Wet Bulb Globe Temperature (outdoor) (Yaglou; 1956) - [°C],World Record,Standing record,Finished time (1st),Finished time (2nd),Finished time (3rd),Finished time (4th),Finished time (5th),Finished time (6th),Finished time (7th),Finished time (8th),Finished time (9th),Finished time (10th),time_avgTop3
Olympic,10k,Men, Sydney,Australia,25,9,2000,22:00:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,18.0,13.0,6.1,2.5,72.6,5,0,10,0,17.8,20,15.6,00:26:23,00:27:07,00:27:18,00:27:18,00:27:20,00:27:20,00:27:25,00:27:38,00:27:40,00:27:44,00:27:45,00:27:46,00:27:19
Olympic,10k,Women, Sydney,Australia,30,9,2000,19:00:00,-33.854815,151.216453,94768099999,AS; SYDNEY OBSERVATORY HILL,1.6,21.0,12.0,3.6,1.5,56.4,3,0,10,0,20.6,21.4,16.8,00:29:32,00:31:02,00:30:17,00:30:22,00:30:23,00:30:27,00:30:37,00:30:53,00:31:07,00:31:15,00:31:21,00:31:27,00:30:21
World Championships,10k,Men,EDMONTON,CANADA,8,8,2001,21:30:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,13.0,10.0,1.1,0.5,82.0,7,,-6,243,12.5,16.1,13.6,00:26:23,00:27:13,00:27:53,00:27:54,00:27:54,00:27:55,00:27:56,00:27:57,00:27:58,00:27:58,00:28:03,00:28:05,00:27:54
World Championships,10k,Women,EDMONTON,CANADA,7,8,2001,21:05:00,53.535411,-113.50799,71157099999,CA; EDMONTON MUNICIPAL CR10 ALTA,3.5,16.0,11.0,1.7,0.7,72.2,5,,-6,345,15.5,18.2,16.4,00:29:32,00:30:25,00:31:49,00:31:49,00:31:50,00:31:50,00:32:03,00:32:05,00:32:06,00:32:09,00:32:15,00:32:19,00:31:49
Common Wealth,10k,Men,Manchester, England,26,7,2002,21:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,16.8,12.7,2.6,1.1,76.8,6,0,1,0,16.5,19.2,14.7,00:26:23,00:27:46,00:27:45,00:27:45,00:27:46,00:27:46,00:28:16,00:28:29,00:28:32,00:28:35,00:28:37,00:28:51,00:27:46
Common Wealth,10k,Women,Manchester, England,30,7,2002,21:00:00,53.4794892,-2.2451148,3334099999,UK; MANCHESTER,14.1,16.3,15.6,2.1,0.9,95.6,8,0,1,0,16.5,20.1,15.6,00:29:32,00:31:41,00:31:28,00:31:32,00:31:32,00:31:58,00:32:30,00:33:37,00:33:59,00:34:26,,,00:31:31
World Championships,10k,Men,PARIS,FRANCE,24,8,2003,19:00:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,22.9,11.9,4.1,1.7,50.0,2,0,2,401,22.6,22.4,20.1,00:26:23,00:27:13,00:26:50,00:26:51,00:27:01,00:27:18,00:27:20,00:27:34,00:27:45,00:27:45,00:27:48,00:27:55,00:26:54
World Championships,10k,Women,PARIS,FRANCE,23,8,2003,20:15:00,48.8566969,2.3514616,7156099999,FR; PARIS MONTSOURIS,4.6,21.9,15.5,2.1,0.9,67.1,4,15,2,174,21.9,23.3,19.9,00:29:32,00:30:25,00:30:04,00:30:07,00:30:07,00:30:13,00:30:23,00:30:26,00:30:32,00:30:38,00:31:01,00:31:06,00:30:06
Olympic,10k,Men, ATHENS,GREECE,20,8,2004,22:35:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,22.8,13.2,0.0,0.0,54.7,3,85,3,0,22.6,22.8,18,00:26:20,00:27:07,00:27:05,00:27:09,00:27:23,00:27:25,00:27:28,00:27:42,00:27:47,00:27:57,00:27:58,00:28:02,00:27:12
Olympic,10k,Women, ATHENS,GREECE,27,8,2004,21:50:00,37.9839412,23.7283052,16716099999,GR; ATHINAI,11.3,25.6,14.7,3.6,1.5,51.0,2,50,3,0,25.5,25,20.4,00:29:32,00:30:17,00:30:24,00:30:25,00:30:26,00:30:28,00:30:32,00:30:54,00:31:04,00:31:05,00:31:06,00:31:07,00:30:25
World Championships,10k,Men,HELSINKI,FINLAND,8,8,2005,19:20:00,60.1674098,24.9425769,2988099999,FI; ISOSAARI,10.2,18.4,16.7,10.0,4.1,89.8,8,80,3,46,18.6,21.8,17.6,00:26:20,00:26:50,00:27:08,00:27:09,00:27:09,00:27:11,00:27:13,00:27:13,00:27:13,00:27:15,00:27:16,00:27:33,00:27:09
